CASO,R,G,B,CLASE
463,209,217,228,1
464,209,217,228,1
465,209,217,228,1
466,210,218,229,1
467,210,218,229,1
468,210,218,229,1
469,210,218,229,1
470,210,218,229,1
471,210,218,229,1
472,210,218,229,1
473,210,218,229,1
474,210,218,229,1
475,210,218,229,1
476,210,218,229,1
477,210,218,229,1
478,211,217,229,1
479,211,217,229,1
480,211,217,229,1
481,212,218,230,1
482,212,218,230,1
483,213,219,231,1
484,213,219,231,1
485,213,219,231,1
486,208,214,226,1
487,208,214,226,1
488,207,213,225,1
489,207,213,225,1
490,206,212,224,1
491,206,212,224,1
492,205,211,223,1
493,205,211,223,1
494,204,212,223,1
495,204,212,223,1
496,203,211,222,1
497,203,211,222,1
498,203,211,222,1
499,203,211,222,1
500,202,210,221,1
501,202,210,221,1
502,201,209,220,1
503,201,209,220,1
504,201,209,220,1
505,201,209,220,1
506,201,209,220,1
507,201,209,220,1
508,201,209,220,1
509,201,209,220,1
510,200,208,219,1
511,200,208,219,1
512,200,208,219,1
513,200,208,219,1
514,200,208,219,1
515,199,207,218,1
516,199,207,218,1
517,199,207,218,1
518,201,209,220,1
519,201,209,220,1
520,201,209,220,1
521,201,209,220,1
522,202,210,221,1
523,202,210,221,1
524,202,210,221,1
525,202,210,221,1
526,198,208,220,1
527,197,207,219,1
528,196,206,218,1
529,195,205,217,1
530,194,204,216,1
531,193,203,215,1
532,193,203,215,1
533,192,202,214,1
534,189,199,211,1
535,189,199,211,1
536,189,199,211,1
537,188,198,210,1
538,187,197,209,1
539,186,196,208,1
540,186,196,208,1
541,185,195,207,1
542,183,195,209,1
543,183,195,209,1
544,182,194,208,1
545,182,194,208,1
546,183,195,209,1
547,185,197,211,1
548,186,198,212,1
549,187,199,213,1
550,189,201,215,1
551,188,200,214,1
552,188,200,214,1
553,189,201,215,1
554,192,204,218,1
555,193,205,219,1
556,193,205,219,1
557,191,205,218,1
558,189,205,218,1
559,188,206,218,1
560,187,205,217,1
561,187,205,217,1
562,187,205,217,1
563,186,204,216,1
564,186,204,216,1
565,186,204,216,1
